2023-09-15T08:00:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 101 | Student Name: Emma Johnson | Status: Present | Reason: -
2023-09-15T10:26:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 184 | Student Name: Ava Davis | Status: Present | Reason: -
2023-09-15T10:28:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 185 | Student Name: William Davis | Status: Late | Reason: Traffic Jam
2023-09-15T10:30:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 186 | Student Name: Sophia Harris | Status: Present | Reason: -
2023-09-15T10:32:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 187 | Student Name: Charlotte Turner | Status: Present | Reason: -
2023-09-15T10:34:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 188 | Student Name: Oliver Taylor | Status: Present | Reason: -
2023-09-15T10:36:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 189 | Student Name: Mia Harris | Status: Late | Reason: Overslept
2023-09-15T10:38:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 190 | Student Name: Noah Turner | Status: Present | Reason: -
2023-09-15T10:40:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 191 | Student Name: Emily Taylor | Status: Present | Reason: -
2023-09-15T12:00:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 192 | Student Name: Liam Turner | Status: Present | Reason: -
2023-09-15T12:02:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 193 | Student Name: Amelia Davis | Status: Present | Reason: -
2023-09-15T12:04:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 194 | Student Name: Olivia Harris | Status: Present | Reason: -
2023-09-15T12:06:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 195 | Student Name: William Taylor | Status: Late | Reason: Traffic delays
2023-09-15T12:08:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 196 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T12:10:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 197 | Student Name: Noah Harris | Status: Late | Reason: Alarm didn't go off
2023-09-15T12:12:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 198 | Student Name: Ava Harris | Status: Present | Reason: -
2023-09-15T12:14:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 199 | Student Name: Benjamin Turner | Status: Present | Reason: -
2023-09-15T12:16:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 200 | Student Name: Sophia Turner | Status: Present | Reason: -
2023-09-15T12:18:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 201 | Student Name: Liam Taylor | Status: Late | Reason: Overslept
2023-09-15T12:20:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 202 | Student Name: Emma Harris | Status: Present | Reason: -
2023-09-15T12:22:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 203 | Student Name: Olivia Taylor | Status: Late | Reason: Alarm didn't go off
2023-09-15T12:24:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 204 | Student Name: Benjamin Harris | Status: Present | Reason: -
2023-09-15T12:26:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 205 | Student Name: Ava Davis | Status: Present | Reason: -
2023-09-15T12:28:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 206 | Student Name: William Davis | Status: Late | Reason: Traffic Jam
2023-09-15T12:30:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 207 | Student Name: Sophia Harris | Status: Present | Reason: -
2023-09-15T12:32:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 208 | Student Name: Charlotte Turner | Status: Present | Reason: -
2023-09-15T12:34:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 209 | Student Name: Oliver Taylor | Status: Present | Reason: -
2023-09-15T12:36:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 210 | Student Name: Mia Harris | Status: Late | Reason: Overslept
2023-09-15T12:38:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 211 | Student Name: Benjamin Davis | Status: Present | Reason: -
2023-09-15T12:40:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Smith | Event: Attendance | Student ID: 212 | Student Name: Emily Turner | Status: Present | Reason: -
2023-09-15T08:00:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 213 | Student Name: Ethan Parker | Status: Present | Reason: -
2023-09-15T08:02:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 214 | Student Name: Mia Turner | Status: Late | Reason: Traffic delays
2023-09-15T08:04:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 215 | Student Name: Olivia Davis | Status: Present | Reason: -
2023-09-15T08:06:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 216 | Student Name: Liam Turner | Status: Late | Reason: Overslept
2023-09-15T08:08:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 217 | Student Name: Ava Harris | Status: Present | Reason: -
2023-09-15T08:10:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 218 | Student Name: Noah Davis | Status: Present | Reason: -
2023-09-15T08:12:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 219 | Student Name: Sophia Davis | Status: Late | Reason: Traffic Jam
2023-09-15T08:14:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 220 | Student Name: Benjamin Harris | Status: Present | Reason: -
2023-09-15T08:16:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 221 | Student Name: Emma Harris | Status: Late | Reason: Alarm didn't go off
2023-09-15T08:18:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 222 | Student Name: William Taylor | Status: Present | Reason: -
2023-09-15T08:20:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 223 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T08:22:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 224 | Student Name: Oliver Taylor | Status: Present | Reason: -
2023-09-15T08:24:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 225 | Student Name: Emily Turner | Status: Present | Reason: -
2023-09-15T08:26:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 226 | Student Name: Benjamin Davis | Status: Late | Reason: Traffic delays
2023-09-15T08:28:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 227 | Student Name: Ethan Parker | Status: Present | Reason: -
2023-09-15T08:30:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 228 | Student Name: Mia Turner | Status: Late | Reason: Overslept
2023-09-15T08:32:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 229 | Student Name: Olivia Davis | Status: Present | Reason: -
2023-09-15T08:34:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 230 | Student Name: Liam Turner | Status: Present | Reason: -
2023-09-15T08:36:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 231 | Student Name: Ava Harris | Status: Late | Reason: Traffic Jam
2023-09-15T08:38:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Attendance | Student ID: 232 |
2023-09-15T10:00:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Quiz | Student ID: 233 | Student Name: Mia Turner | Status: Present | Reason: -
2023-09-15T10:02:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Assignment | Student ID: 234 | Student Name: Olivia Davis | Status: Present | Reason: -
2023-09-15T10:04:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Workshop | Student ID: 235 | Student Name: Liam Turner | Status: Late | Reason: Overslept
2023-09-15T10:06:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Presentation | Student ID: 236 | Student Name: Ava Harris | Status: Present | Reason: -
2023-09-15T10:08:00.000Z | Course: Data Analytics Basics | Instructor: Prof. Johnson | Event: Group Discussion | Student ID: 237 | Student Name: Noah Davis | Status: Present | Reason: -
2023-09-15T12:00:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Attendance | Student ID: 238 | Student Name: Sophia Davis | Status: Present | Reason: -
2023-09-15T12:02:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Quiz | Student ID: 239 | Student Name: Benjamin Harris | Status: Present | Reason: -
2023-09-15T12:04:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Assignment | Student ID: 240 | Student Name: Emma Harris | Status: Late | Reason: Alarm didn't go off
2023-09-15T12:06:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Workshop | Student ID: 241 | Student Name: William Taylor | Status: Present | Reason: -
2023-09-15T12:08:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Presentation | Student ID: 242 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T12:10:00.000Z | Course: Advanced Data Analysis | Instructor: Prof. Smith | Event: Group Discussion | Student ID: 243 | Student Name: Oliver Taylor | Status: Late | Reason: Traffic delays
2023-09-15T12:12:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Brown | Event: Attendance | Student ID: 244 | Student Name: Emily Turner | Status: Present | Reason: -
2023-09-15T12:14:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Brown | Event: Quiz | Student ID: 245 | Student Name: Benjamin Davis | Status: Late | Reason: Traffic delays
2023-09-15T12:16:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Brown | Event: Assignment | Student ID: 246 | Student Name: Ethan Parker | Status: Present | Reason: -
2023-09-15T12:18:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Brown | Event: Workshop | Student ID: 247 | Student Name: Mia Turner | Status: Late | Reason: Overslept
2023-09-15T12:20:00.000Z | Course: Machine Learning Fundamentals | Instructor: Dr. Brown | Event: Presentation | Student ID: 248 | Student Name: Olivia Davis | Status: Present | Reason: -
2023-09-15T08:00:00.000Z | Course: Business Ethics | Instructor: Prof. Anderson | Event: Attendance | Student ID: 301 | Student Name: Michael Smith | Status: Present | Reason: -
2023-09-15T08:05:00.000Z | Course: Business Ethics | Instructor: Prof. Anderson | Event: Quiz | Student ID: 302 | Student Name: Emily White | Status: Present | Reason: -
2023-09-15T08:15:00.000Z | Course: Business Ethics | Instructor: Prof. Anderson | Event: Assignment | Student ID: 303 | Student Name: David Johnson | Status: Late | Reason: Overslept
2023-09-15T08:30:00.000Z | Course: Business Ethics | Instructor: Prof. Anderson | Event: Workshop | Student ID: 304 | Student Name: Sophia Lee | Status: Present | Reason: -
2023-09-15T08:45:00.000Z | Course: Business Ethics | Instructor: Prof. Anderson | Event: Presentation | Student ID: 305 | Student Name: Noah Turner | Status: Present | Reason: -
2023-09-15T10:00:00.000Z | Course: Marketing Strategies | Instructor: Prof. Martinez | Event: Attendance | Student ID: 306 | Student Name: Olivia Harris | Status: Present | Reason: -
2023-09-15T10:05:00.000Z | Course: Marketing Strategies | Instructor: Prof. Martinez | Event: Quiz | Student ID: 307 | Student Name: Liam Turner | Status: Late | Reason: Traffic jam
2023-09-15T10:15:00.000Z | Course: Marketing Strategies | Instructor: Prof. Martinez | Event: Assignment | Student ID: 308 | Student Name: Mia Davis | Status: Present | Reason: -
2023-09-15T10:30:00.000Z | Course: Marketing Strategies | Instructor: Prof. Martinez | Event: Workshop | Student ID: 309 | Student Name: William Adams | Status: Present | Reason: -
2023-09-15T10:45:00.000Z | Course: Marketing Strategies | Instructor: Prof. Martinez | Event: Presentation | Student ID: 310 | Student Name: Emily Turner | Status: Present | Reason: -
2023-09-15T12:00:00.000Z | Course: Financial Management | Instructor: Prof. Davis | Event: Attendance | Student ID: 311 | Student Name: Benjamin Parker | Status: Present | Reason: -
